id,edad,pais,tipo_visa,renovaciones_previas,fecha_inicio,fecha_final,dias_restantes,dias_desde_inicio,porcentaje_transcurrido,en_ultimos_3_meses,riesgo
1116,42,República Dominicana,Residencia Temporal,0,2025-08-20,2026-08-20,256,109,29.86,0,bajo_riesgo
1368,41,Haití,Estudiante,1,2023-07-08,2026-07-07,212,883,80.64,0,bajo_riesgo
422,56,Colombia,Estudiante,1,2025-06-19,2025-12-16,9,171,95.0,1,alto_riesgo
413,40,Perú,Estudiante,0,2025-07-08,2026-01-04,28,152,84.44,1,alto_riesgo
451,73,Venezuela,Trabajo,4,2025-06-21,2025-12-18,11,169,93.89,1,alto_riesgo
861,25,Perú,Turista,0,2021-01-28,2026-01-27,51,1774,97.21,1,medio_riesgo
1063,19,Chile,Turista,0,2026-02-17,2026-05-18,162,-72,-80.0,0,bajo_riesgo
741,51,Argentina,Turista,0,2025-01-21,2026-01-21,45,320,87.67,1,medio_riesgo
1272,69,Colombia,Estudiante,0,2023-10-05,2026-10-04,301,794,72.51,0,bajo_riesgo
259,70,Haití,Turista,0,2023-12-18,2025-12-17,10,720,98.63,1,alto_riesgo
888,50,Brasil,Estudiante,2,2021-02-02,2026-02-01,56,1769,96.93,1,medio_riesgo
1432,56,Ecuador,Trabajo,0,2021-06-05,2026-06-04,179,1646,90.19,0,bajo_riesgo
712,46,Haití,Residencia Permanente,1,2024-03-05,2026-03-05,88,642,87.95,1,medio_riesgo
1382,68,Colombia,Residencia Permanente,0,2023-03-11,2026-03-10,93,1002,91.51,0,bajo_riesgo
70,26,Nicaragua,Turista,0,2023-12-17,2025-12-16,9,721,98.77,1,alto_riesgo
1268,55,Brasil,Turista,0,2026-02-10,2026-05-11,155,-65,-72.22,0,bajo_riesgo
1491,50,Brasil,Negocios,0,2026-07-23,2026-10-21,318,-228,-253.33,0,bajo_riesgo
607,49,Brasil,Turista,0,2023-02-01,2026-01-31,55,1040,94.98,1,medio_riesgo
433,45,Venezuela,Turista,0,2024-12-10,2025-12-10,3,362,99.18,1,alto_riesgo
51,60,Perú,Estudiante,1,2025-06-28,2025-12-25,18,162,90.0,1,alto_riesgo
1199,41,Chile,Trabajo,2,2024-03-26,2026-03-26,109,621,85.07,0,bajo_riesgo
1128,37,Argentina,Estudiante,0,2021-11-14,2026-11-13,341,1484,81.32,0,bajo_riesgo
1190,62,México,Residencia Temporal,1,2026-02-14,2026-08-13,249,-69,-38.33,0,bajo_riesgo
1249,43,Haití,Estudiante,1,2025-12-07,2026-03-07,90,0,0.0,1,bajo_riesgo
1419,43,México,Estudiante,2,2023-10-05,2026-10-04,301,794,72.51,0,bajo_riesgo
432,22,Ecuador,Trabajo,1,2025-10-02,2025-12-31,24,66,73.33,1,alto_riesgo
1452,44,Argentina,Turista,2,2023-11-27,2026-11-26,354,741,67.67,0,bajo_riesgo
1470,61,Venezuela,Trabajo,0,2025-04-27,2026-04-27,141,224,61.37,0,bajo_riesgo
1234,63,Bolivia,Estudiante,3,2021-12-01,2026-11-30,358,1467,80.38,0,bajo_riesgo
1281,54,Colombia,Turista,2,2021-10-07,2026-10-06,303,1522,83.4,0,bajo_riesgo
1085,19,Brasil,Turista,0,2026-01-29,2026-04-29,143,-53,-58.89,0,bajo_riesgo
610,56,Nicaragua,Turista,1,2021-02-17,2026-02-16,71,1754,96.11,1,medio_riesgo
1284,24,México,Residencia Temporal,0,2026-02-19,2026-05-20,164,-74,-82.22,0,bajo_riesgo
1041,36,Bolivia,Residencia Temporal,0,2026-08-09,2026-11-07,335,-245,-272.22,0,bajo_riesgo
220,49,Colombia,Residencia Permanente,0,2020-12-16,2025-12-15,8,1817,99.56,1,alto_riesgo
339,68,Nicaragua,Residencia Temporal,0,2024-12-26,2025-12-26,19,346,94.79,1,alto_riesgo
423,66,Colombia,Residencia Permanente,0,2023-12-20,2025-12-19,12,718,98.36,1,alto_riesgo
428,66,Colombia,Estudiante,0,2025-09-19,2025-12-18,11,79,87.78,1,alto_riesgo
1105,60,México,Negocios,0,2023-10-05,2026-10-04,301,794,72.51,0,bajo_riesgo
76,73,Colombia,Estudiante,1,2025-06-12,2025-12-09,2,178,98.89,1,alto_riesgo
1391,58,Haití,Negocios,0,2026-02-20,2026-05-21,165,-75,-83.33,0,bajo_riesgo
439,55,Colombia,Turista,0,2023-12-11,2025-12-10,3,727,99.59,1,alto_riesgo
1336,43,Brasil,Turista,1,2024-03-22,2026-03-22,105,625,85.62,0,bajo_riesgo
864,39,México,Trabajo,1,2025-08-08,2026-02-04,59,121,67.22,1,medio_riesgo
1080,18,Chile,Trabajo,0,2021-10-18,2026-10-17,314,1511,82.79,0,bajo_riesgo
354,57,Venezuela,Trabajo,0,2020-12-11,2025-12-10,3,1822,99.84,1,alto_riesgo
365,33,Venezuela,Negocios,1,2020-12-12,2025-12-11,4,1821,99.78,1,alto_riesgo
309,72,México,Trabajo,1,2022-12-30,2025-12-29,22,1073,97.99,1,alto_riesgo
736,62,Cuba,Estudiante,1,2025-01-15,2026-01-15,39,326,89.32,1,medio_riesgo
998,22,Nicaragua,Turista,1,2025-03-02,2026-03-02,85,280,76.71,1,medio_riesgo
621,50,México,Negocios,0,2025-10-10,2026-01-08,32,58,64.44,1,medio_riesgo
543,38,Chile,Turista,0,2024-01-26,2026-01-25,49,681,93.29,1,medio_riesgo
1140,43,Venezuela,Estudiante,2,2021-05-10,2026-05-09,153,1672,91.62,0,bajo_riesgo
1296,58,Argentina,Estudiante,2,2023-09-12,2026-09-11,278,817,74.61,0,bajo_riesgo
554,27,Brasil,Turista,0,2025-01-29,2026-01-29,53,312,85.48,1,medio_riesgo
679,66,Perú,Trabajo,0,2021-02-15,2026-02-14,69,1756,96.22,1,medio_riesgo
49,23,Colombia,Turista,0,2025-09-24,2025-12-23,16,74,82.22,1,alto_riesgo
490,32,Perú,Negocios,0,2023-12-18,2025-12-17,10,720,98.63,1,alto_riesgo
316,62,Argentina,Estudiante,0,2025-09-09,2025-12-08,1,89,98.89,1,alto_riesgo
904,45,Venezuela,Turista,0,2025-07-18,2026-01-14,38,142,78.89,1,medio_riesgo
636,70,México,Turista,0,2023-01-09,2026-01-08,32,1063,97.08,1,medio_riesgo
560,63,República Dominicana,Residencia Permanente,0,2025-02-14,2026-02-14,69,296,81.1,1,medio_riesgo
486,67,Brasil,Turista,0,2025-07-09,2026-01-05,29,151,83.89,1,alto_riesgo
67,59,Honduras,Estudiante,4,2025-09-12,2025-12-11,4,86,95.56,1,alto_riesgo
811,23,Argentina,Residencia Permanente,0,2024-01-26,2026-01-25,49,681,93.29,1,medio_riesgo
493,67,Brasil,Estudiante,1,2023-12-25,2025-12-24,17,713,97.67,1,alto_riesgo
310,42,Venezuela,Turista,2,2020-12-29,2025-12-28,21,1804,98.85,1,alto_riesgo
1096,36,Brasil,Trabajo,3,2026-05-11,2026-11-07,335,-155,-86.11,0,bajo_riesgo
1247,72,Argentina,Estudiante,1,2026-05-17,2026-08-15,251,-161,-178.89,0,bajo_riesgo
184,54,Venezuela,Turista,0,2020-12-11,2025-12-10,3,1822,99.84,1,alto_riesgo
306,73,Chile,Turista,0,2025-09-13,2025-12-12,5,85,94.44,1,alto_riesgo
852,53,Ecuador,Turista,0,2025-08-15,2026-02-11,66,114,63.33,1,medio_riesgo
792,61,Haití,Turista,2,2023-03-05,2026-03-04,87,1008,92.05,1,medio_riesgo
289,42,Bolivia,Turista,0,2022-12-28,2025-12-27,20,1075,98.17,1,alto_riesgo
706,34,Venezuela,Turista,1,2025-08-26,2026-02-22,77,103,57.22,1,medio_riesgo
1329,22,Venezuela,Trabajo,1,2025-07-01,2026-07-01,206,159,43.56,0,bajo_riesgo
654,36,Perú,Negocios,2,2025-01-11,2026-01-11,35,330,90.41,1,medio_riesgo
522,58,República Dominicana,Trabajo,1,2025-01-29,2026-01-29,53,312,85.48,1,medio_riesgo
461,50,República Dominicana,Negocios,0,2023-12-10,2025-12-09,2,728,99.73,1,alto_riesgo
930,62,México,Trabajo,3,2021-03-04,2026-03-03,86,1739,95.29,1,medio_riesgo
